token, capital, lapse, all_trades, prof_trades, success rate 
SOL-USD, 100.00, 76.37, 0, 0, 0.00
ZRX-USD, 0.00, 999.99, 129534, 63918, 49.34
FIL-USD, 100.00, 266.33, 0, 0, 0.00
FET-USD, 100.00, 36.37, 0, 0, 0.00
DASH-USD, 72.93, 715.36, 8, 3, 37.50
BAL-USD, 67.08, 330.38, 1, 0, 0.00
MASK-USD, 144.11, 48.18, 6, 4, 66.67
CHZ-USD, 102.23, 76.38, 16, 9, 56.25
UNI-USD, 100.00, 349.25, 0, 0, 0.00
WBTC-USD, 100.00, 316.37, 0, 0, 0.00
LTC-USD, 172.90, 1000.00, 12, 7, 58.33
STORJ-USD, 44.14, 160.38, 1, 0, 0.00
WLUNA-USD, 100.01, 20.25, 1, 1, 100.00
BNT-USD, 68.85, 260.34, 1, 0, 0.00
DOT-USD, 100.00, 77.38, 0, 0, 0.00
NKN-USD, 38.52, 145.38, 10, 7, 70.00
PLA-USD, 111.69, 28.37, 5, 3, 60.00
BTC-USD, 100.00, 999.99, 0, 0, 0.00
EOS-USD, 43.75, 876.38, 33, 11, 33.33
AXS-USD, 100.00, 20.26, 0, 0, 0.00
COMP-USD, 59.19, 435.37, 2, 1, 50.00
REN-USD, 143.65, 330.39, 27, 11, 40.74
XTZ-USD, 158.73, 757.39, 58, 28, 48.28
MANA-USD, 0.00, 134.38, 4341, 1977, 45.54
LPT-USD, 71.06, 69.39, 3, 1, 33.33
MIR-USD, 29.11, 118.38, 5, 1, 20.00
ORN-USD, 113.41, 20.38, 1, 1, 100.00
AMP-USD, 0.00, 83.39, 8971, 4331, 48.28
AAVE-USD, 100.00, 260.34, 0, 0, 0.00
CTSI-USD, 100.00, 118.39, 0, 0, 0.00
TRU-USD, 100.00, 20.27, 0, 0, 0.00
KNC-USD, 379.73, 554.35, 36, 23, 63.89
IOTX-USD, 82.24, 20.39, 23, 17, 73.91
GTC-USD, 43.08, 83.39, 4, 1, 25.00
ZEC-USD, 88.46, 267.34, 1, 0, 0.00
ADA-USD, 100.00, 167.39, 0, 0, 0.00
NU-USD, 234.64, 273.35, 62, 37, 59.68
OXT-USD, 0.00, 625.43, 5369, 2575, 47.96
TRB-USD, 100.00, 118.39, 0, 0, 0.00
NMR-USD, 65.22, 379.39, 5, 1, 20.00
DAI-USD, 0.00, 489.38, 65195, 31485, 48.29
ANKR-USD, 0.00, 160.40, 7891, 3914, 49.60
SNX-USD, 100.00, 260.36, 0, 0, 0.00
ETC-USD, 0.00, 999.99, 130833, 61540, 47.04
MKR-USD, 65.37, 449.41, 8, 2, 25.00
USDT-USD, 0.00, 121.02, 17407, 4373, 25.12
REP-USD, 83.13, 876.39, 80, 44, 55.00
ETH-USD, 471.40, 999.99, 21, 13, 61.90
OGN-USD, 37.54, 145.41, 14, 11, 78.57
KEEP-USD, 58.85, 76.16, 5, 1, 20.00
UST-USD, 99.50, 20.41, 1, 0, 0.00
POLY-USD, 121.34, 36.31, 15, 8, 53.33
RLC-USD, 100.00, 118.41, 0, 0, 0.00
REQ-USD, 66.41, 20.28, 3, 0, 0.00
ATOM-USD, 72.86, 596.32, 34, 20, 58.82
SUSHI-USD, 100.00, 174.36, 0, 0, 0.00
XLM-USD, 0.00, 902.40, 124031, 61415, 49.52
BAND-USD, 93.01, 386.42, 1, 0, 0.00
COTI-USD, 100.00, 6.15, 0, 0, 0.00
RAI-USD, 98.38, 29.41, 6, 6, 100.00
RLY-USD, 77.42, 48.22, 19, 12, 63.16
OMG-USD, 140.79, 470.42, 5, 2, 40.00
MATIC-USD, 80.61, 174.38, 1, 0, 0.00
DOGE-USD, 0.00, 90.41, 8598, 4000, 46.52
BOND-USD, 76.53, 69.42, 6, 3, 50.00
BAT-USD, 64.15, 134.41, 52, 27, 51.92
FARM-USD, 100.00, 34.33, 0, 0, 0.00
TRIBE-USD, 126.20, 20.41, 4, 1, 25.00
1INCH-USD, 45.25, 145.42, 2, 0, 0.00
CRV-USD, 100.00, 160.42, 0, 0, 0.00
BCH-USD, 185.71, 999.99, 20, 12, 60.00
CGLD-USD, 70.63, 365.42, 33, 13, 39.39
QNT-USD, 128.73, 69.40, 8, 4, 50.00
ICP-USD, 100.00, 114.38, 0, 0, 0.00
LINK-USD, 99.56, 797.40, 37, 22, 59.46
PAX-USD, 0.00, 36.31, 2427, 567, 23.36
SKL-USD, 28.16, 174.38, 12, 6, 50.00
ENJ-USD, 57.67, 145.42, 6, 4, 66.67
FORTH-USD, 34.74, 133.32, 2, 0, 0.00
ALGO-USD, 109.49, 748.43, 140, 84, 60.00
MLN-USD, 93.65, 83.42, 1, 0, 0.00
UMA-USD, 74.78, 358.41, 3, 1, 33.33
LRC-USD, 0.00, 351.43, 37830, 18423, 48.70
QUICK-USD, 100.00, 20.42, 0, 0, 0.00
GRT-USD, 81.49, 258.35, 1, 0, 0.00
CLV-USD, 0.00, 48.17, 5651, 1572, 27.82
YFI-USD, 100.00, 351.43, 0, 0, 0.00
ACH-USD, 129.86, 29.43, 18, 12, 66.67
