[ time, low, high, open, close, volume ], 
[1623815280, 2523.54, 2525.23, 2523.74, 2525.12, 17.41924777],
[1623815220, 2523.23, 2525.94, 2525.26, 2523.74, 13.07990696],
[1623815160, 2524.43, 2526.67, 2525.59, 2524.6, 56.83173519],
[1623815100, 2525.37, 2527.95, 2527.3, 2525.67, 58.33874763],
[1623815040, 2526.27, 2527.58, 2526.6, 2527.3, 21.19527131],
[1623814980, 2525.25, 2526.53, 2525.26, 2526.47, 26.52467334],
[1623814920, 2523.68, 2525.55, 2524.4, 2525.54, 73.57756534],
[1623814860, 2522.59, 2524.77, 2524.42, 2524.16, 84.18155081],
[1623814800, 2522.22, 2525.68, 2522.22, 2524.99, 39.38473561],
[1623814740, 2521.42, 2523.47, 2522.97, 2522.21, 14.6372795],
[1623814680, 2521.87, 2525, 2524.87, 2523.13, 45.75514835],
[1623814620, 2523.68, 2525, 2523.68, 2524.7, 46.77131194],
[1623814560, 2523.23, 2524.99, 2524.99, 2523.68, 27.9837213],
[1623814500, 2521.04, 2525, 2521.04, 2524.98, 80.79979614],
[1623814440, 2520.07, 2521.69, 2521.36, 2521.17, 12.38887298],
[1623814380, 2520.29, 2522.14, 2521, 2521.69, 27.72994836],
[1623814320, 2517.56, 2521.41, 2517.56, 2520.77, 6.65526682],
[1623814260, 2515.38, 2518.71, 2515.38, 2517.29, 38.09884599],
[1623814200, 2515.38, 2517.01, 2517.01, 2515.38, 21.63435287],
[1623814140, 2516.1, 2518.3, 2516.84, 2516.82, 39.61067035],
[1623814080, 2516.91, 2522.16, 2521.5, 2516.91, 38.97192186],
[1623814020, 2521.81, 2524.22, 2524.22, 2521.86, 45.35868659],
[1623813960, 2523.15, 2525.32, 2525.32, 2524.22, 54.00018483],
[1623813900, 2523.48, 2525.49, 2524.66, 2524.86, 36.31157435],
[1623813840, 2524.3, 2525.65, 2525.17, 2524.87, 39.5039163],
[1623813780, 2523.31, 2525.47, 2523.49, 2523.62, 78.77221307],
[1623813720, 2516.09, 2523.48, 2518.08, 2522.68, 67.8655467],
[1623813660, 2518.08, 2520.28, 2520.03, 2518.09, 46.87786239],
[1623813600, 2518.72, 2520.29, 2518.72, 2520.23, 35.11502587],
[1623813540, 2517.59, 2519.21, 2518.27, 2518.72, 25.17421905],
[1623813480, 2514.16, 2519.68, 2514.16, 2518.29, 129.52859965],
[1623813420, 2513.11, 2516.54, 2515.38, 2514.26, 142.38163595],
[1623813360, 2515.37, 2516.8, 2515.37, 2515.38, 37.43015319],
[1623813300, 2512.94, 2515.93, 2515.68, 2515.93, 46.31657784],
[1623813240, 2515.76, 2517.97, 2516.71, 2515.76, 45.65920626],
[1623813180, 2515.9, 2519.48, 2516.34, 2516.71, 32.7271874],
[1623813120, 2512.54, 2516.43, 2514.63, 2516.06, 34.93724936],
[1623813060, 2513.13, 2515.27, 2514.82, 2514.77, 42.47323346],
[1623813000, 2514.21, 2515.66, 2515.4, 2514.5, 48.59137989],
[1623812940, 2515.1, 2517.05, 2515.67, 2515.11, 36.97997839],
[1623812880, 2512.53, 2516.38, 2513.25, 2516.05, 63.28624784],
[1623812820, 2512.34, 2514.86, 2514.75, 2513.43, 21.21908257],
[1623812760, 2513.87, 2516.22, 2513.88, 2514.77, 84.25894654],
[1623812700, 2513.05, 2515.71, 2514.94, 2513.87, 96.1791908],
[1623812640, 2513.93, 2517.54, 2516.98, 2514.91, 104.16872214],
[1623812580, 2516.69, 2519.31, 2518.07, 2518.16, 49.00830384],
[1623812520, 2516.76, 2519.15, 2518.5, 2517.54, 170.43023533],
[1623812460, 2518.06, 2522.87, 2520.01, 2518.49, 55.51408962],
[1623812400, 2519.68, 2524.09, 2524.09, 2519.87, 66.59137935],
[1623812340, 2523.99, 2527.76, 2525.93, 2524.09, 196.90379539],
[1623812280, 2525.79, 2526.87, 2525.92, 2525.93, 11.02574419],
[1623812220, 2525.11, 2526.82, 2526.82, 2525.48, 46.97488356],
[1623812160, 2524.94, 2527.34, 2526.22, 2526.83, 48.6596134],
[1623812100, 2525, 2526.71, 2525, 2526.22, 45.22939528],
[1623812040, 2522.23, 2525, 2523.43, 2525, 23.44654427],
[1623811980, 2523.18, 2525.6, 2525.6, 2523.74, 36.53073958],
[1623811920, 2523.59, 2525.6, 2524.15, 2525.6, 23.50189452],
[1623811860, 2520.88, 2525.49, 2521.04, 2524.01, 33.93939863],
[1623811800, 2518.97, 2521.73, 2520, 2521.18, 27.36506936],
[1623811740, 2518.9, 2520.76, 2520.42, 2520, 26.83450755],
[1623811680, 2516.07, 2520.4, 2517.25, 2520.27, 35.33200722],
[1623811620, 2516, 2518.84, 2516, 2517.43, 46.03139439],
[1623811560, 2515.01, 2519.62, 2519.61, 2515.93, 153.40075403],
[1623811500, 2517.89, 2521.54, 2520.99, 2519.79, 51.85433262],
[1623811440, 2520.4, 2523.71, 2523.71, 2521.28, 79.27262315],
[1623811380, 2523.7, 2528.83, 2528.83, 2523.7, 33.5007858],
[1623811320, 2528.5, 2530.5, 2529.74, 2528.83, 24.75770026],
[1623811260, 2527.6, 2530.15, 2528.3, 2530.15, 54.51568384],
[1623811200, 2527.78, 2529.61, 2528.05, 2528.32, 52.01936873],
[1623811140, 2526.6, 2529.48, 2527.09, 2528.06, 39.64326021],
[1623811080, 2526.38, 2528.4, 2528.4, 2526.79, 30.40918814],
[1623811020, 2527.08, 2529.23, 2527.98, 2528.41, 25.76651303],
[1623810960, 2525.33, 2528.73, 2525.33, 2527.99, 84.75220049],
[1623810900, 2524.15, 2525.85, 2524.76, 2525.32, 14.74438304],
[1623810840, 2523.94, 2526.59, 2525.25, 2524.3, 24.01952336],
[1623810780, 2525, 2527.5, 2525.69, 2525.01, 37.29759895],
[1623810720, 2525.75, 2527.82, 2527.82, 2525.91, 43.30194422],
[1623810660, 2527.81, 2529.88, 2528.81, 2527.82, 48.06618183],
[1623810600, 2526.41, 2529.34, 2526.74, 2529.31, 27.20996629],
[1623810540, 2526.19, 2528.29, 2527.46, 2526.92, 15.88526563],
[1623810480, 2527.71, 2529.65, 2528.62, 2527.87, 64.93484844],
[1623810420, 2526.18, 2528.88, 2528.54, 2528.38, 108.31507098],
[1623810360, 2524.34, 2528.87, 2524.34, 2528.86, 77.74454959],
[1623810300, 2521.63, 2524.54, 2521.63, 2524.34, 19.2965189],
[1623810240, 2521.63, 2524.5, 2524.5, 2521.63, 15.07427894],
[1623810180, 2521.67, 2524.85, 2521.72, 2524.51, 24.31456875],
[1623810120, 2521.62, 2524.39, 2524.26, 2521.72, 69.71047564],
[1623810060, 2522.11, 2524.39, 2522.2, 2524.27, 49.47810447],
[1623810000, 2521.11, 2522.76, 2521.29, 2522.41, 33.31713946],
[1623809940, 2520.77, 2522.77, 2522.77, 2521.07, 32.03767697],
[1623809880, 2522.07, 2524.4, 2522.46, 2522.76, 77.85741597],
[1623809820, 2522.23, 2525.53, 2525.53, 2522.46, 73.13023887],
