['UNFI-USD', nan]
['RLY-USD', 3.9269210315399476]
['SPELL-USD', 3.907759569954557]
['BAND-USD', 3.2564178267582973]
['SKL-USD', 3.2281810941778164]
['API3-USD', 2.795195653922915]
['GALA-USD', 2.360834997492748]
['POLS-USD', 1.825230386426545]
['MPL-USD', nan]
['CTX-USD', nan]
['CLV-USD', 2.612108771592852]
['COVAL-USD', 2.2829492165445817]
['QUICK-USD', 1.994552702274647]
['GRT-USD', 1.8727704617385201]
['SHIB-USD', 1.7680477097715657]
['BOND-USD', 1.6832497585262112]
['BAL-USD', 1.6374879930315074]
['PERP-USD', 1.6273620200598882]
['REN-USD', 1.5836989462257975]
['ZEC-USD', 1.50005807598281]
['ASM-USD', 1.4569795558571152]
['FET-USD', 1.4548083789440147]
['RLC-USD', 1.1584104285192331]
['1INCH-USD', 1.1561876626479575]
['FX-USD', 1.095588172701823]
['TRIBE-USD', 1.0805461915354881]
['GTC-USD', 0.9584488664234347]
['ORN-USD', 0.9437440074776956]
['VGX-USD', 0.9147742347448101]
['EOS-USD', 0.723639197838322]
['REQ-USD', 0.7112018380103526]
['PLA-USD', 0.7008450193614095]
['ETC-USD', 0.6980418520934429]
['LTC-USD', 0.554811018001016]
['XLM-USD', 0.5406502145132407]
['ZEN-USD', 0.30390609602707774]
['DOGE-USD', 0.21464198311628505]
['RAI-USD', -0.0267207505706689]
['RNDR-USD', nan]
['UPI-USD', nan]
['NCT-USD', 6.6059599172700425]
['BLZ-USD', 3.7309948135361872]
['RBN-USD', 3.385043447633894]
['SUPER-USD', 2.683822233607756]
['IOTX-USD', 2.0607333164764707]
['LRC-USD', 1.9623632542974894]
['BICO-USD', 1.9595279271415005]
['AXS-USD', 1.7437099074776912]
['SUSHI-USD', 1.6476888084115153]
['AMP-USD', 1.5847570847688592]
['KRL-USD', 1.3973589092895984]
['CHZ-USD', 1.3593468124857266]
['MASK-USD', 1.3338855102191454]
['BCH-USD', 1.3035834455221638]
['GODS-USD', 1.2363956653537593]
['TRAC-USD', 1.2286680181837404]
['XYO-USD', 1.2272534802607298]
['MANA-USD', 1.1436006152894496]
['NKN-USD', 1.1017924305214088]
['JASMY-USD', 1.0480810490641523]
['RARI-USD', 0.9844982844499266]
['AAVE-USD', 0.9319221847821069]
['KNC-USD', 0.923077066788393]
